Semana,Tarea,Color
Semana 1,Configurar estructura de carpetas del sitio web,Azul
Semana 1,Crear repositorio compartido (GitHub o Drive),Azul
Semana 1,Dividir tareas entre los miembros del equipo,Azul
Semana 1,"Configurar herramientas: VSCode, servidor local, navegador",Azul
Semanas 2-4,Maquetar la página index.html con HTML5,Amarillo
Semanas 2-4,Estilizar index con CSS (estructura principal y responsive básico),Amarillo
Semanas 2-4,Crear formulario de login,Amarillo
Semanas 2-4,Implementar autenticación con PHP,Amarillo
Semanas 2-4,Crear base de datos inicial con tabla de usuarios,Amarillo
Semanas 5-6,Crear interfaz del dashboard para el panel de administración,Naranja
Semanas 5-6,Crear formulario de carga de publicaciones,Naranja
Semanas 5-6,Implementar edición y eliminación,Naranja
Semanas 5-6,Validar formularios de publicaciones,Naranja
Semanas 7-8,Crear formulario de contacto en el footer,Rojo
Semanas 7-8,Crear script PHP para procesar el mensaje,Rojo
Semanas 7-8,Almacenar mensajes en base de datos,Rojo
Semanas 7-8,Mostrar mensajes en dashboard de administrador,Rojo
Semanas 9-10,Validar todos los formularios con PHP,Violeta
Semanas 9-10,Proteger secciones con sesiones activas,Violeta
Semanas 9-10,"Manejar errores comunes (campos vacíos, datos mal formateados)",Violeta
Semana 11,Revisar responsive completo,Multicolor
Semana 11,"Agregar logos, estética general, fuentes",Multicolor
Semana 11,Probar en diferentes dispositivos,Multicolor
Semana 11,Arreglar errores de estilos visuales,Multicolor
Semana 12,Completar carpeta de proyecto del equipo,Celeste
Semana 12,Incluir capturas de pantalla del desarrollo,Celeste
Semana 12,Documentar decisiones técnicas y dificultades,Celeste
Semanas 13-14,Preparar discurso y roles para exposición,Rosa
Semanas 13-14,"Crear afiches, presentaciones, impresiones",Rosa
Semanas 13-14,Simular presentación ante otros grupos,Rosa
Semana 15,Exponer el proyecto en el stand,Dorado
Semana 15,Responder preguntas del jurado y visitantes,Dorado
Semana 15,Compartir acceso al sitio y carpeta del equipo,Dorado
